age,male,married,ln_wage,rural_hk,familysize,old_ratio,child_ratio,ln_property,ln_transfer,edu_my,ifsocial,social_rate_h,ln_pce,ln_indinc_cr,year2,citycode2
43,0,1,7.3132205,1,3,0,0,4.0831714,4.1640778,2,0,0,10.42821608,11.04961936,3,11
28,0,1,6.5510802,1,3,0,0.33333334,0,0,4,0,0,10.48904952,9.903487553,5,11
49,1,1,8.0063677,1,3,0,0,0,0,2,0,0,10.88967741,9.66987268,5,11
44,0,1,6.7452364,1,3,0,0,0,2.7725887,2,0,0,9.781884731,10.09795727,3,11
34,0,1,6.8023949,1,5,0,0.40000001,0,0,2,0,0,10.04897222,9.337853692,1,11
36,0,1,7.0030656,1,5,0,0.40000001,0,4.5290089,2,0,0,10.40668415,8.624431942,3,11
42,0,1,7.130899,1,4,0,0,0,0,2,0,0,10.71486211,8.324821299,1,14
48,0,1,7.8240461,0,3,0,0,0,0,2,0,0,10.42584641,9.210340372,3,14
51,0,1,7.130899,0,2,0,0,0,0,3,0,0,10.03626866,7.467371067,3,14
53,0,1,7.130899,0,2,0,0,0,7.6014023,3,0,0,10.54481498,9.680344001,5,14
34,1,1,8.2940493,0,2,0,0,0,0,3,0,0,10.09946544,10.1266311,3,14
25,1,1,10.308952,0,3,0,0.33333334,0,0,2,0,0,10.60410675,9.028018775,3,14
27,1,1,10.308952,0,3,0,0.33333334,0,0,2,0,0,10.80730076,10.34174248,5,14
34,1,1,7.418581,0,4,0,0.25,0,0,2,0,0,9.948460918,8.517193191,1,14
40,0,1,7.8240461,0,5,0,0.2,7.8244457,7.9377317,3,0,0,10.67452127,9.83862898,1,14
44,0,1,7.8240461,0,5,0.2,0,0,11.548331,3,0,0,12.74964616,12.47092305,5,14
43,1,1,8.1605186,0,4,0,0.25,0,0,2,0,0,11.05247605,9.210340372,3,14
58,0,1,7.0030656,0,4,0.25,0,0,12.023757,1,0,0,12.62651832,12.61153775,5,14
29,1,1,7.8240461,0,4,0,0.25,0,0,2,0,0,9.93609994,6.43775165,3,14
45,1,1,8.5171928,1,5,0,0.2,0,3.5361166,1,0,0,10.76848499,8.903815212,3,12
29,1,1,7.9010072,1,3,0,0.33333334,0,0,1,0,0,9.939819482,8.111728073,5,12
33,1,1,8.2940493,1,3,0,0.33333334,0,4.8362818,2,0,0,10.62570798,9.086287686,5,15
53,1,1,8.1605186,1,2,0,0,0,0,2,0,0,10.06942563,9.76995616,5,15
58,1,1,8.0063677,0,2,0,0,0,7.4191809,2,1,0.25,11.39870358,10.59663473,3,12
28,0,1,7.377759,0,2,0,0,0,0,4,1,0.38461539,11.04866531,10.59675973,5,12
41,1,1,7.8240461,1,4,0,0,0,4.8362818,1,0,0,10.92125125,8.740336743,5,16
